danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.549,0.336,C,-11.669,major,0.029,0.652,0,0.134,0.802,154.958,33FPsMEl3UwpytDuyf9VYq,153933,4,C major
0.696,0.743,C#,-6.623,major,0.0439,0.0836,0.197,0.119,0.776,137.276,0nG4SbrAONIFLIwQqegooj,138747,4,C# major
0.652,0.838,C,-6.591,major,0.0378,0.434,0,0.328,0.965,147.219,6NCPbpsr2N4w6YIZkpq6jx,134573,4,C major
0.646,0.571,F#,-6.614,major,0.0299,0.295,9.31e-6,0.319,0.953,92.919,52l2PCOwU2n2zfTlc0pEov,147e3,4,F# major
0.554,0.189,E,-14.277,major,0.0279,0.915,1.37e-5,0.132,0.214,136.714,2urRqmAFhjZKo8Z6sEGzEv,165293,3,E major
0.601,0.721,E,-8.143,minor,0.16,0.835,1.19e-6,0.24,0.849,97.89,0MLachoG7wHVRrVydw2xuJ,113853,4,E minor
0.694,0.528,G,-8.209,major,0.031,0.482,0.812,0.231,0.885,105.785,6gIFUpY85r9b4pCDIIkJDF,147933,4,G major
0.439,0.427,G,-7.879,major,0.0358,0.786,0,0.111,0.781,125.13,2YVifHvinQio4kk6qifztd,152027,3,G major
0.786,0.845,F#,-8.905,major,0.123,0.183,1.97e-5,0.294,0.875,98.721,5gjeRYKyOH23oNNb59WjJq,158267,4,F# major
0.689,0.723,G,-7.815,major,0.0905,0.925,0.134,0.113,0.964,122.623,3h5g8M5cWCPniE29PHhv7M,113413,4,G major
0.334,0.137,E,-15.965,major,0.0359,0.877,2.76e-4,0.117,0.332,83.439,26YkbXVX59D9lDxce25pX5,162307,4,E major
0.742,0.0899,A,-19.187,minor,0.158,0.0906,0,0.113,0.351,137.473,2CeqxyOZEyiL6pTDYZ9gPH,201333,4,A minor
0.408,0.397,A,-12.536,major,0.03,0.873,0,0.28,0.697,72.615,3c7KT5CN8uYRaK3xThhdYt,162773,4,A major
0.534,0.807,G#,-7.9,major,0.0525,0.499,4.81e-5,0.185,0.971,145.252,1IcMAG7yvnTG1Q4xHvScGE,126307,4,G# major
0.603,0.316,D#,-14.013,major,0.123,0.598,1.08e-6,0.0733,0.735,183.416,72q9ssiMhhksZqwTYYEUs1,161533,4,D# major
0.509,0.273,A,-10.484,major,0.0278,0.863,0,0.0777,0.457,99.01,13xxW8H3H39GAQzdgXQ9Vf,135507,3,A major
0.499,0.477,E,-5.759,major,0.0252,0.472,0.0267,0.106,0.869,84.992,2ezGLGYLs0Q1J8m5zy1NvY,137326,4,E major
0.546,0.238,E,-11.653,major,0.0333,0.872,3.93e-6,0.117,0.484,109.947,7mHIj0eOzSLpTBzTrVFHPQ,139960,4,E major
0.627,0.47,E,-10.059,minor,0.0788,0.711,4.69e-4,0.623,0.587,122.314,5TfgHMP79vvaUKtBIWD9wS,148933,4,E minor
0.449,0.369,A#,-12.799,major,0.0554,0.907,5.89e-4,0.251,0.896,72.246,32aZ9tODwDPbmKzIfvr60z,113213,4,A# major
0.318,0.209,C#,-13.582,major,0.0353,0.765,3.14e-6,0.115,0.192,86.37,1r6shlzjAP2t8o6OHTeGEE,169253,4,C# major
0.609,0.609,F,-13.835,major,0.0297,0.719,0,0.148,0.959,108.965,19qkesdHjvJEZztR8kFuY3,134920,4,F major
0.678,0.658,D,-8.664,major,0.0303,0.235,0,0.361,0.65,89.376,2WCeQuJ7pumP9zHBkKZACi,139867,4,D major
0.7,0.195,C#,-16.657,major,0.0322,0.749,0,0.0472,0.58,101.858,2oPz7fWUmfeNG00NVf5uNa,148533,4,C# major
0.448,0.708,C#,-11.665,major,0.073,0.897,1.33e-4,0.091,0.922,174.295,3F3nKJP5W8bMWwT6D3gpdX,152985,4,C# major
0.233,0.337,F,-10.031,major,0.0307,0.854,1.53e-6,0.274,0.218,73.576,76eNJQoJmN4mfsUW0q8HPv,168293,4,F major
0.294,0.443,D,-11.501,major,0.0322,0.75,1.16e-6,0.404,0.356,83.823,3t72D6frjSTo9JH3gaFbF6,18e4,4,D major
0.709,0.422,E,-12.306,major,0.0367,0.969,0.015,0.137,0.865,123.578,0rKd9qeK0UPdqgYyQ46nhS,153360,4,E major
0.667,0.391,A#,-8.712,major,0.0258,0.728,0,0.0809,0.682,101.3,6eIEXINZt8rtgqEtOxP9ur,146800,3,A# major
0.59,0.646,A,-10.022,major,0.0481,0.341,0,0.053900000000000003,0.864,131.132,2qa55pQuSWU7g7lxl36Psc,106933,4,A major
0.551,0.421,G,-10.461,major,0.276,0.00806,3.94e-4,0.256,0.869,174.937,53MkmSqmBa6s2b0Q9Zvg1C,152581,4,G major
0.683,0.58,B,-9.47,major,0.0365,0.478,0,0.0652,0.909,142.796,32B8L99crpPtq4ICaJBpiS,134560,4,B major
0.603,0.755,D#,-6.396,major,0.038,0.662,1.91e-5,0.0764,0.967,136.373,4C0wRKBEUuYonk1uxXjxGG,136427,4,D# major
0.657,0.664,E,-8.352,major,0.0339,0.623,5.97e-6,0.417,0.87,108.917,6V0bSLpZ6XNJ72jBb6fpvx,104440,4,E major
0.598,0.136,F#,-14.094,minor,0.0365,0.881,0,0.341,0.386,127.735,1ziqCUcuCbr98FXENMnVym,180800,4,F# minor
0.476,0.694,D#,-8.078,major,0.129,0.755,2.04e-5,0.0772,0.927,175.584,4oM93m3dQYXI3tpJOvo08j,146200,4,D# major
0.627,0.259,F#,-11.333,major,0.0364,0.933,0,0.091,0.519,111.168,0COs1GhGn3sKJ4bZuXkNXx,165827,4,F# major
0.724,0.699,F,-7.994,major,0.108,0.354,0,0.0915,0.928,110.596,6WGzw3Bk9BgxUWvY7oJgrh,127507,4,F major
0.741,0.308,A#,-13.904,minor,0.0321,0.771,1.55e-6,0.102,0.615,114.572,3kjEjsy17HdYmC3dpHZQSW,155627,4,A# minor
0.83,0.325,A,-13.681,major,0.0373,0.514,0.00165,0.172,0.816,123.094,0HBD3qQqzNqAnP29UgbOJp,153920,4,A major
0.53,0.18,E,-13.409,major,0.0271,0.82,0,0.107,0.432,89.49,1R0HW2ZiOzZoYfnZbUK7eE,144120,4,E major
0.427,0.617,D,-13.57,major,0.0475,0.217,0,0.151,0.926,165.836,7h7U3OYppI7HpgFqCc2VZ3,149200,4,D major
0.613,0.372,C,-13.051,major,0.0299,0.785,0.00154,0.115,0.697,98.549,05k40oRJ58mQBJSAz0FkLI,129333,4,C major
0.547,0.24,C,-15.011,minor,0.038,0.849,6.66e-6,0.106,0.579,101.124,4EWzX1rNaid4E8sULZd1UZ,168360,4,C minor
0.671,0.447,A,-14.931,major,0.0718,0.305,1.61e-5,0.358,0.887,157.265,6I49RDTrOe54naukI7dYYF,133947,4,A major
0.371,0.347,G#,-6.604,minor,0.033,0.918,0,0.102,0.372,104.922,2RiqYokg5JYZVph0AuUiPU,151040,3,G# minor
0.689,0.749,C,-8.983,minor,0.166,0.844,0,0.097,0.959,93.71,4UgiNlKI2BrCmMhGnrYFze,101947,4,C minor
0.597,0.55,D,-9.963,major,0.106,0.703,0.0165,0.0662,0.953,74.012,3l67CqAXUM9MmOGDyF8LAQ,152333,4,D major
0.586,0.545,G,-9.712,major,0.0293,0.313,0,0.137,0.904,106.343,1sgU6LtIDuTT2bxqdmSbh4,117400,4,G major
0.756,0.756,E,-10.821,major,0.0433,0.489,1.75e-4,0.167,0.966,156.484,44XGMLszaOWD7k4LsJMcWa,121067,4,E major
